model,mean_auc,std_auc,fold_count
Autoencoder,0.9103919030875703,0.08948877337839244,15
Isolation Forest,0.8897732735607389,0.10864547156119939,15
One-Class SVM,0.7463188778310622,0.24465937251501768,15
LOF,0.7961362959540025,0.17396044911054742,15
